43.2	5.35
33.4	10.8
61.4	11.65
11.7	15.95
23	18.75
37.7	17.75
58.3	17.25
161.8	12.35
64.2	6.65
34.6	6.2
14.2	4.2
103.9	6.15
22.3	7.9
54.4	8.35
55.5	11.55
39.1	16.95
135.5	16.65
77.6	16.5
73	13.65
12.9	10
112.3	6.35
33.3	1.5
78	4.55
87.5	4.15
90.2	4.8
64.8	7.45
53.4	10.5
35.9	14.55
34.2	17.2
93.7	15.8
125.1	14.75
22.9	9.4
132.1	8.95
39.8	6
46.4	3.15
13.3	3.6
61.1	7.2
41.2	10.3
56.6	14.3
34	15.5
7.5	17.95
108.5	16.85
43	11.45
95.5	9.25
96.8	4.15
55.2	2.7
21.8	3.1
40.4	4.2
17.2	5.55
53	8
42.8	13.05
40.5	14.6
82.1	16.05
74.1	16.95
47.3	14.3
56	10.25
39.7	8.6
18	7.25
33	2.95
59.7	3.35
64.4	6.5
10.1	7.8
53.3	11.55
92.3	14.1
55.8	14.95
80.1	15.25
66.3	13.5
54.9	12.55
112.2	7.35
51.4	7
62.7	2.85
36.3	1.7
36.5	3.55
16.6	10.1
113.5	10.3
107.4	14.7
7.4	18.15
11.5	18.95
38.3	14.7
40.1	9.65
35.4	7.05
79.1	5.8
99.5	3.85
11.4	-0.5
17.3	6.5
48.1	7.4
8.5	12.65
62.7	13.75
62	16.7
114.9	14.5
60	14.75
45.9	9.7
19.7	6
80.7	5.85
41	5.8
71.7	6.15
43.1	9.75
9.9	9.3
42.4	10.8
55.7	16.15
85.4	17.45
95.9	16.25
101.5	13.3
52.6	11.5
50.5	6.25
64.4	4.5
90.2	3.8
65.4	5.65
34.6	4.35
27.5	7.85
54.4	12.15
84.2	14.9
63.6	16.55
67.3	16.45
80.3	15.55
72.5	11.25
76.7	6.75
83.5	5.05
94.1	2.15
2.2	4.2
86.6	7.75
52.2	10.25
25.8	13
25.2	15.95
64.9	18.35
44	18.15
5.4	15.6
49.1	12.55
44.9	7.15
124	6.3
82.3	4.05
50.6	4.7
24.9	6.85
16.9	9.4
61.4	13.3
111	16.85
110.1	15.75
50.5	15.7
104.8	13.8
138.6	10.85
106.1	7.75
107.5	4.4
86.1	4.2
53.4	7.6
4.5	8.65
75.9	10.7
28	11.75
33.9	15.55
54.3	16.5
59.1	16.55
56.9	15.95
67.7	11.25
36.9	6.15
97.8	2.5
94.7	4.55
10.3	4.55
32.4	3.3
50.7	8.25
38.6	10.9
5.5	14.55
54.6	16
96.1	15.5
115	13.25
29.6	10.8
55.1	5.55
50.4	1.3
27.9	-3
10.4	-0.7
75.9	6.45
50.4	9.45
43.6	11.25
65.9	15.45
48	15.9
81.4	14.95
58	13.65
44.4	11.6
115.4	8.85
18.6	2.45
13	3.35
22.2	4.95
92.6	4.65
59.5	9.15
44.4	13.95
49.3	14.65
21.2	17.35
14.6	16.75
15.5	15.1
17.5	9.1
25	7.75
43.7	3.75
56	3.8
5.8	3.05
44.2	5.95
49.4	8.8
63.8	12.35
53.4	14.95
90	14.75
61.7	15.55
75.4	13
12	11.1
51.2	4.95
95.5	5.25
30.8	2.9
74.9	6.8
9.9	6.95
81.7	8.05
54	11.75
56.6	16.05
80.9	15.75
78.8	15.5
52.5	14.4
122.7	11.05
28	5.6
80.4	6.05
35.5	4.9
64.3	5.9
30.7	7.65
40.4	8.35
85.6	11.55
49.3	14.7
76.6	17.9
44	16.5
59.4	14.3
121.7	11.5
29.2	5.95
63.3	4.55
57.9	4.65
26.8	2.3
19.5	7.2
46.1	8.7
66.2	10.6
69.2	15.65
141.6	15.85
91.7	15.85
108.3	14.55
67.7	13.2
54.5	6.75
63.6	3.1
74.9	6.1
39.9	1.65
48.3	4.2
37	8.4
88.8	12.35
20.7	14.7
49	18.15
87.9	17.25
32.8	14.25
5	13.3
52	6.1
72.9	3.6
66.6	4.25
49.2	3.6
45.8	4.1
75.9	7.55
22.9	13.75
43	17
42.3	16.15
51.9	16.6
40.3	15.3
19.5	11.2
150.3	8.5
33.9	4.25
105.3	4.85
22.1	4.7
42.9	5.45
44.8	8.15
46.3	12.35
135.8	13.05
37.3	18.15
133.2	16.5
13.4	14.65
74.2	11.6
61.3	6.4
24	6.65
60.5	4.2
50.8	4.75
63.2	7.3
45.8	8.8
49.8	11.25
55.8	12.7
23.3	16.4
29.8	16.15
31	12.4
25.9	11.1
65.8	6.65
74	6.1
24.4	4.45
15	4.5
10.8	6.55
42.4	8.15
71.2	12.15
109.3	15.9
60	16.5
28.8	17.65
32.7	15.35
40.8	9.15
28.3	6.5
30.9	5.3
65	6.45
77.7	5.9
36.7	5.85
4.2	8.4
31.6	11.45
78.7	14.6
41.7	16.15
97.2	15.95
156.1	12.8
66.4	7.95
95.1	7.55
33.4	8.25
69.4	7.2
29.7	4.85
95.2	5.15
46.9	9.05
49	10.35
18	15.45
34.1	18.6
30.2	19.6
95.3	14.3
11	10.35
37.9	6.15
21.7	4.6
18.9	5.95
18.8	4.9
16	5.35
8.1	8.5
44.2	13.05
17.1	18.5
14.3	19.55
23.9	17.9
90.7	14.3
99.5	11.2
55.9	6.3
101.8	2.1
75.9	3.05
114.4	6.1
59.8	7.4
40.7	7.7
43.1	10.9
86.9	12.6
5.8	16.5
129	15.95
7.8	13.95
32.8	11.85
46.6	6.7
67.8	6.4
68.2	3.45
45.6	2.95
